序号,SMILES
linker88,C1=C(C(=CC(=C1Br)O)Br)O
linker89,C1CC2=C(C=CC(=C2)Br)C3=C1C=C(C=C3)Br
linker90,C1=CC=C2C=C3C(=CC2=C1)C(=C4C=C5C=CC=CC5=CC4=C3Br)Br
linker91,C1(=NC(=NC(=N1)Br)Br)Br
linker92,C1=C(C=C(C=C1Br)Br)Br
linker93,C1=CC(=CC=C1N(C2=CC=C(C=C2)Br)C3=CC=C(C=C3)Br)Br
linker94,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)Br)C4=CC=C(C=C4)Br)Br
linker95,BrC1=CC=C(C=C1)C#CC1=CC(=CC(=C1)C#CC1=CC=C(C=C1)Br)C#CC1=CC=C(C=C1)Br
linker96,C1=CC(=CC=C1C2=NC(=NC(=N2)C3=CC=C(C=C3)Br)C4=CC=C(C=C4)Br)Br
linker97,BrC1(CC=C(C=C1)C1=CC=CC=C1)C=1C2=CC=C(N2)C(=C2C=CC(C(=C3C=CC(=C(C=4C=CC1N4)C4(CC=C(C=C4)C4=CC=CC=C4)Br)N3)C3(CC=C(C=C3)C3=CC=CC=C3)Br)=N2)C2(CC=C(C=C2)C2=CC=CC=C2)Br
linker98,BrC1=CC=C(C=C1)C=1C2=CC=C(N2)C(=C2C=CC(C(=C3C=CC(=C(C=4C=CC1N4)C4=CC=C(C=C4)Br)N3)C3=CC=C(C=C3)Br)=N2)C2=CC=C(C=C2)Br
linker99,BrC1(CC(=CC(C1)(Br)Br)C1=CC=CC=C1)Br
linker100,C1=C(C=C(C(=C1C2=C(C(=CC(=C2)Br)Br)O)O)Br)Br
linker101,BrC1=C(C(=CC(=C1)Br)C=1C(=C(C=C(C1)Br)Br)N)N
linker102,BrC1=CCC2=C(C1)C3(CC4=CC(Br)=CC=C4C2=C5C=CC(Br)=CC5=C3)C6=CC(Br)=CC=C6
linker103,C1=CC=C2C(=C1)C3=CC=CC=C3C24C5=CC(C=CC5=C6C4=CC(C=C6)(Br)Br)(Br)Br
linker104,BrC1=C(C(=CC(=C1O)Br)C=1C(=C(C(=C(C1)Br)O)Br)O)O
linker105,BrC=1C=C(C=C(C1O)Br)C1=CC(=C(C(=C1)Br)O)Br
linker106,BrC1=C(C(=CC(=C1N)Br)C=1C(=C(C(=C(C1)Br)N)Br)N)N
linker107,BrC=1C=C(C=C(C1N)Br)C1=CC(=C(C(=C1)Br)N)Br
linker108,C1=CC2=C3C(=C(C=C2Br)Br)C=CC4=C(C=C(C1=C43)Br)Br
linker109,c1cc(Br)ccc1C(c2ccc(Br)cc2)(c3ccc(Br)cc3)c4ccc(Br)cc4
linker110,C1C2(CC3(CC1(CC(C2)(C3)Br)Br)Br)Br
linker111,c1cc(Br)ccc1[Si](c2ccc(Br)cc2)(c3ccc(Br)cc3)c4ccc(Br)cc4
