name,PLD(A),LCD(A),surfacearea[m^2/g],Porosity,Density(gr/cm3),%C,%F,%H,%N,%O,%S,%Si
linker100_C_linker21_C_nfc_relaxed,8.6318,12.86165,6431.61,0.777927,0.328189,52.380952,0,45.238095,0,2.380952,0,0
linker100_C_linker22_C_lvt_relaxed_interp_3,9.52332,14.76729,4382.04,0.772266,0.463606,56.25,0,31.25,3.125,9.375,0,0
linker100_C_linker22_C_qtz_relaxed_interp_2,17.75463,18.18567,4252.84,0.791098,0.374022,56.25,0,31.25,3.125,9.375,0,0
linker100_C_linker22_C_umc_relaxed_interp_3,9.66037,13.2197,5738.62,0.79653,0.410042,56.25,0,31.25,3.125,9.375,0,0
linker100_C_linker23_C_dia_relaxed_interp_2,9.49273,11.04057,5734.18,0.78551,0.450196,52.941176,0,26.470588,5.882353,14.705882,0,0
linker100_C_linker23_C_qtz_relaxed_interp_2,14.7612,15.03295,4299.48,0.767333,0.432813,52.941176,0,26.470588,5.882353,14.705882,0,0
linker100_C_linker23_C_umc_relaxed_interp_3,10.65712,13.70417,4580.15,0.751443,0.472298,52.941176,0,26.470588,5.882353,14.705882,0,0
linker100_C_linker24_C_dia_relaxed_interp_2,9.54929,11.6393,5489.06,0.785229,0.448661,52.941176,0,26.470588,5.882353,14.705882,0,0
linker100_C_linker24_C_lvt_relaxed_interp_3,7.48455,10.8059,4435.36,0.750653,0.53483,52.941176,0,26.470588,5.882353,14.705882,0,0
linker100_C_linker24_C_umc_relaxed_interp_3,8.4371,11.20289,5213.21,0.767782,0.471557,52.941176,0,26.470588,5.882353,14.705882,0,0
linker100_C_linker25_C_dia_relaxed_interp_2,6.53501,12.78335,5376.03,0.780594,0.442949,52.941176,0,26.470588,5.882353,14.705882,0,0
linker100_C_linker26_C_dia_relaxed_interp_2,7.95151,9.39319,4485.76,0.738677,0.567718,47.368421,0,18.421053,10.526316,23.684211,0,0
linker100_C_linker26_C_lvt_relaxed_interp_2,9.17119,16.38588,4638.15,0.785809,0.457467,47.368421,0,18.421053,10.526316,23.684211,0,0
linker100_C_linker27_C_dia_relaxed_interp_2,10.57034,12.12992,5483.45,0.796504,0.421148,55.555556,0,33.333333,2.777778,8.333333,0,0
linker100_C_linker27_C_lvt_relaxed_interp_3,9.08941,9.63335,4630.21,0.73524,0.504934,55.555556,0,33.333333,2.777778,8.333333,0,0
linker100_C_linker27_C_qtz_relaxed_interp_2,10.2493,13.74585,5217.12,0.776772,0.404708,55.555556,0,33.333333,2.777778,8.333333,0,0
linker100_C_linker28_C_qtz_relaxed_interp_2,13.9777,14.28965,4185.6,0.7441,0.49798,56.25,0,31.25,3.125,9.375,0,0
linker100_C_linker29_C_qtz_relaxed_interp_2,17.66481,17.88533,2784.9,0.659855,0.469894,47.368421,0,28.947368,10.526316,13.157895,0,0
linker100_C_linker3_C_dei-z_relaxed_interp_2,10.87135,12.53115,4498.45,0.722479,0.468152,56.521739,0,39.130435,0,4.347826,0,0
linker100_C_linker3_C_kgm_relaxed,15.60408,17.45707,5279.42,0.780348,0.388304,56.521739,0,39.130435,0,4.347826,0,0
linker100_C_linker3_C_lvt_relaxed_interp_2,5.83513,9.7888,4856.4,0.733145,0.502355,56.521739,0,39.130435,0,4.347826,0,0
linker100_C_linker3_C_nfa_relaxed,11.80091,14.27859,5168.76,0.777026,0.405802,56.521739,0,39.130435,0,4.347826,0,0
linker100_C_linker3_C_tcb_relaxed,4.08316,5.98687,519.662,0.227916,0.879127,56.521739,0,39.130435,0,4.347826,0,0
linker100_C_linker3_C_umc_relaxed_interp_2,8.21165,11.19486,5153.96,0.746328,0.444892,56.521739,0,39.130435,0,4.347826,0,0
linker100_C_linker3_C_umd_relaxed_interp_2,8.40043,11.64109,5293.98,0.751153,0.436172,56.521739,0,39.130435,0,4.347826,0,0
linker100_C_linker31_C_dia_relaxed_interp_2,11.0297,13.66819,6249.41,0.79918,0.368379,52.941176,0,38.235294,5.882353,2.941176,0,0
linker100_C_linker31_C_qtz_relaxed_interp_2,17.7953,17.98935,5262.74,0.789179,0.356413,52.941176,0,38.235294,5.882353,2.941176,0,0
linker100_C_linker32_C_dia_relaxed_interp_3,8.62348,9.34088,3417.57,0.665883,0.559069,50,0,34.375,12.5,3.125,0,0
linker100_C_linker32_C_lvt_relaxed_interp_3,9.6931,13.46738,5040.35,0.776007,0.448544,50,0,34.375,12.5,3.125,0,0
linker100_C_linker33_C_dia_relaxed_interp_2,12.24598,12.70026,5460.82,0.779255,0.410151,55.555556,0,36.111111,5.555556,2.777778,0,0
linker100_C_linker34_C_dia_relaxed_interp_2,9.21646,11.47454,5556.57,0.793753,0.456125,52.941176,0,26.470588,5.882353,14.705882,0,0
linker100_C_linker36_C_qtz_relaxed_interp_2,18.15123,18.65911,4246.07,0.798839,0.375308,57.575758,0,33.333333,6.060606,3.030303,0,0
linker100_C_linker37_C_qtz_relaxed_interp_2,14.48126,15.03537,4250.26,0.774878,0.440531,50,0,21.875,12.5,15.625,0,0
linker100_C_linker4_C_kgm_relaxed,15.56226,16.73475,4416.24,0.785122,0.455182,54.545455,0,27.272727,4.545455,13.636364,0,0
linker100_C_linker4_C_nfa_relaxed,11.26306,13.74934,4342.36,0.763798,0.475827,54.545455,0,27.272727,4.545455,13.636364,0,0
linker100_C_linker4_C_qtz_relaxed,7.95881,8.22178,4808.58,0.771287,0.565657,54.545455,0,27.272727,4.545455,13.636364,0,0
linker100_C_linker40_C_lvt_relaxed_interp_3,9.88989,11.59818,4310.9,0.796048,0.493361,60,0,23.333333,6.666667,10,0,0
linker100_C_linker41_C_dei-z_relaxed_interp_2,10.04632,11.89667,3768.29,0.711451,0.534367,59.090909,0,27.272727,4.545455,9.090909,0,0
linker100_C_linker41_C_lvt_relaxed_interp_2,5.81604,9.98469,4113.16,0.747905,0.574383,59.090909,0,27.272727,4.545455,9.090909,0,0
linker100_C_linker41_C_nfa_relaxed,11.76814,14.06198,4514.92,0.797634,0.465589,59.090909,0,27.272727,4.545455,9.090909,0,0
linker100_C_linker42_C_kgm_relaxed,14.55768,15.87204,3155.57,0.767992,0.532871,58.333333,0,20.833333,8.333333,12.5,0,0
linker100_C_linker42_C_lvt_relaxed_interp_2,5.44282,8.91653,3025.92,0.699781,0.68359,58.333333,0,20.833333,8.333333,12.5,0,0
linker100_C_linker42_C_nfa_relaxed,10.55542,13.31227,3391.01,0.7721,0.552425,58.333333,0,20.833333,8.333333,12.5,0,0
linker100_C_linker43_C_dia_relaxed,7.09454,10.32966,4286.98,0.723887,0.548918,53.333333,0,30,6.666667,10,0,0
linker100_C_linker43_C_qtz_relaxed,13.08015,13.79841,3803.9,0.787784,0.459233,53.333333,0,30,6.666667,10,0,0
linker100_C_linker43_C_rac_relaxed,6.32406,8.13443,4273.42,0.710515,0.584047,53.333333,0,30,6.666667,10,0,0
linker100_C_linker44_C_lvt_relaxed,8.5404,14.40969,4817.54,0.777579,0.418211,50,0,36.111111,5.555556,8.333333,0,0
